City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
630,Yamada,JP,80.6,overcast clouds,39.4667,141.95,Iroha-ya Inn
636,Karatsu,JP,82.29,overcast clouds,33.4425,129.9697,Niji no Matsubara Hotel
638,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
640,Mana,GF,76.93,overcast clouds,5.6592,-53.7767,LE SAMANA
641,Bilma,NE,85.53,clear sky,18.6853,12.9164,Expeditions Ténére voyages
643,Zhaoqing,CN,83.82,overcast clouds,23.0512,112.4597,七星岩旅游度假区
645,Nehe,CN,85.01,broken clouds,48.4833,124.8333,Vladimir Homestay
647,Kailua,US,82.38,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
649,Neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
653,Marawi,PH,78.55,overcast clouds,7.9986,124.2928,Derogongan Residence
654,Uruzgan,AF,80.37,few clouds,32.8333,66.0,
656,Kulhudhuffushi,MV,82.69,broken clouds,6.6221,73.07,Haajy Guest House 1
658,Lamar,US,86.65,clear sky,33.6668,-95.5836,Kings Inn Paris TX
661,Zhaozhou,CN,82.38,light rain,45.6833,125.3167,East Hotel
662,Puerto Madero,MX,81.48,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
666,Careiro Da Varzea,BR,79.41,broken clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
667,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
669,Mongo,TD,77.77,broken clouds,12.1844,18.693,Résidences du Programme FIDA
676,Jasper,US,85.14,few clouds,37.2001,-94.3502,Guest House Motel
677,Tripoli,LY,78.37,clear sky,32.8752,13.1875,Al Waddan Hotel
679,Mancio Lima,BR,75.13,scattered clouds,-7.6142,-72.8958,Motel Asas Do Desejo
687,Buchanan,LR,75.88,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
689,Bokoro,TD,83.32,overcast clouds,12.3807,17.0568,
690,San Pedro,PH,86.36,moderate rain,14.35,121.0167,Palines Apartment and Guesthouse
693,Saint Anthony,US,80.38,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
702,West Wendover,US,88.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
706,Virginia Beach,US,78.03,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
707,Port Blair,IN,77.04,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
708,Gunjur,GM,75.27,moderate rain,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
710,Hamilton,US,81.21,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
711,Thinadhoo,MV,82.02,scattered clouds,0.5333,72.9333,
716,Manuk Mangkaw,PH,83.86,overcast clouds,4.8,119.85,
717,Tadine,NC,77.36,overcast clouds,-21.55,167.8833,
718,Corralillo,CU,79.95,clear sky,22.9819,-80.5856,Hostal De Pedri
720,Riberalta,BO,77.18,few clouds,-10.9833,-66.1,Hotel Colonial
725,Samana,DO,78.37,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
726,Wewak,PG,86.29,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
727,Aquiraz,BR,77.09,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
729,Gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
731,Linguere,SN,84.07,overcast clouds,15.3953,-15.1193,AYO Casablanca
740,Natchitoches,US,86.85,broken clouds,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
745,Buraydah,SA,82.85,overcast clouds,26.326,43.975,Mövenpick Qassim
747,Tangzhai,CN,75.85,moderate rain,34.4328,116.5911,Huilong Business Hotel
748,Yumen,CN,85.96,clear sky,40.2833,97.2,
749,Kimbe,PG,86.7,light rain,-5.5502,150.1429,Kimbe Bay Hotel
750,Misratah,LY,79.03,clear sky,32.3754,15.0925,Almasa Hotel
751,Marsh Harbour,BS,81.63,clear sky,26.5412,-77.0636,Abaco Beach Resort
755,Mnogovershinnyy,RU,83.75,clear sky,53.9353,139.9242,Obshchezhitiye 14
758,Azare,NG,76.68,overcast clouds,11.6765,10.1948,Mallam Ayuba Compound
762,Kirksville,US,84.15,clear sky,40.1948,-92.5833,Budget Host-Village Inn
766,Bam,IR,87.28,broken clouds,29.106,58.357,Bam Tourist Hotel
772,Banda Aceh,ID,85.05,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
773,Russellville,US,87.06,broken clouds,35.2784,-93.1338,Hampton Inn Russellville
775,Nara,JP,79.97,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
776,Sirjan,IR,81.7,overcast clouds,29.452,55.6814,MAPNA Building
778,Avera,US,78.55,broken clouds,33.194,-82.5271,
782,Nioro,GM,78.71,overcast clouds,13.35,-15.75,
783,Jalu,LY,76.91,clear sky,29.0331,21.5482,صاحبة الفخامة
785,Sampit,ID,88.23,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
787,Nieuw Amsterdam,SR,77.16,light rain,5.8833,-55.0833,Hotel Stardust
792,Am Timan,TD,76.37,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
793,Yatou,CN,83.3,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
795,Fort Myers Beach,US,86.02,few clouds,26.452,-81.9481,Lani Kai Island Resort
796,Point Fortin,TT,76.89,overcast clouds,10.1833,-61.6833,Jus Les' Suites
797,Cotonou,BJ,78.78,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
800,Owosso,US,79.52,broken clouds,42.9978,-84.1766,Comstock Inn and Conference Center
801,Karaton,ID,85.86,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
805,Havelock,US,80.58,clear sky,34.8791,-76.9013,Sherwood Motel
806,Ajdabiya,LY,75.38,clear sky,30.7554,20.2263,Almadina Hotel
807,Key West,US,84.99,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
808,Sokoni,TZ,75.2,light rain,-6.4333,39.55,Ujamaa Beach Resort
811,Venice,US,85.98,scattered clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
813,La Palma,US,78.31,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
822,Baruun-Urt,MN,75.7,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
823,Shenyang,CN,80.62,overcast clouds,41.7922,123.4328,DoubleTree by Hilton Hotel Shenyang
825,Tual,ID,79.81,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
828,Manokwari,ID,83.59,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
829,Prabumulih,ID,85.12,broken clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
831,Dalbandin,PK,87.6,overcast clouds,28.8947,64.4101,Sanjrani House
